f	x
0	-1
-0.0171000000000000	-0.900000000000000
-0.0575999999999999	-0.800000000000000
-0.107100000000000	-0.700000000000000
-0.153600000000000	-0.600000000000000
-0.187500000000000	-0.500000000000000
-0.201600000000000	-0.400000000000000
-0.191100000000000	-0.300000000000000
-0.153600000000000	-0.200000000000000
-0.0891000000000000	-0.100000000000000
0	0
0.108900000000000	0.100000000000000
0.230400000000000	0.200000000000000
0.354900000000000	0.300000000000000
0.470400000000000	0.400000000000000
0.562500000000000	0.500000000000000
0.614400000000000	0.600000000000000
0.606900000000000	0.700000000000000
0.518400000000000	0.800000000000000
0.324900000000000	0.900000000000000
0	1
