filter_r	x		Wind_U		TI		Average_Ct
102		0.1		6		6		0.7815971
101		0.2		6		6		0.7815971
100		0.3		6		6		0.7815971
99		0.4		6		6		0.7815971
98		0.5		6		6		0.7815971
97		0.6		6		6		0.7815971
96		0.7		6		6		0.7815971
95		0.8		6		6		0.7815971
94		0.9		6		6		0.7815971
93		1		6		6		0.7815971
92		1.1		6		6		0.7815971
91		1.2		6		6		0.7815971
90		1.3		6		6		0.7815971
89		1.4		6		6		0.7815971
88		1.5		6		6		0.7815971
87		1.6		6		6		0.7815971
86		1.7		6		6		0.7815971
85		1.8		6		6		0.7815971
84		1.9		6		6		0.7815971
83		2		6		6		0.7815971
82		2.1		6		6		0.7815971
81		2.2		6		6		0.7815971
80		2.3		6		6		0.7815971
79		2.4		6		6		0.7815971
78		2.5		6		6		0.7815971
77		2.6		6		6		0.7815971
76		2.7		6		6		0.7815971
75		2.8		6		6		0.7815971
74		2.9		6		6		0.7815971
74		3		6		6		0.7815971
73		3.1		6		6		0.7815971
72		3.2		6		6		0.7815971
71		3.3		6		6		0.7815971
70		3.4		6		6		0.7815971
69		3.5		6		6		0.7815971
69		3.6		6		6		0.7815971
68		3.7		6		6		0.7815971
67		3.8		6		6		0.7815971
67		3.9		6		6		0.7815971
66		4		6		6		0.7815971
65		4.1		6		6		0.7815971
65		4.2		6		6		0.7815971
64		4.3		6		6		0.7815971
63		4.4		6		6		0.7815971
63		4.5		6		6		0.7815971
62		4.6		6		6		0.7815971
62		4.7		6		6		0.7815971
61		4.8		6		6		0.7815971
61		4.9		6		6		0.7815971
60		5		6		6		0.7815971
60		5.1		6		6		0.7815971
59		5.2		6		6		0.7815971
59		5.3		6		6		0.7815971
58		5.4		6		6		0.7815971
58		5.5		6		6		0.7815971
58		5.6		6		6		0.7815971
58		5.7		6		6		0.7815971
57		5.8		6		6		0.7815971
57		5.9		6		6		0.7815971
57		6		6		6		0.7815971
57		6.1		6		6		0.7815971
57		6.2		6		6		0.7815971
57		6.3		6		6		0.7815971
57		6.4		6		6		0.7815971
57		6.5		6		6		0.7815971
57		6.6		6		6		0.7815971
57		6.7		6		6		0.7815971
57		6.8		6		6		0.7815971
57		6.9		6		6		0.7815971
58		7		6		6		0.7815971
58		7.1		6		6		0.7815971
58		7.2		6		6		0.7815971
58		7.3		6		6		0.7815971
58		7.4		6		6		0.7815971
58		7.5		6		6		0.7815971
58		7.6		6		6		0.7815971
58		7.7		6		6		0.7815971
57		7.8		6		6		0.7815971
57		7.9		6		6		0.7815971
57		8		6		6		0.7815971
57		8.1		6		6		0.7815971
56		8.2		6		6		0.7815971
56		8.3		6		6		0.7815971
56		8.4		6		6		0.7815971
56		8.5		6		6		0.7815971
55		8.6		6		6		0.7815971
55		8.7		6		6		0.7815971
55		8.8		6		6		0.7815971
54		8.9		6		6		0.7815971
54		9		6		6		0.7815971
54		9.1		6		6		0.7815971
54		9.2		6		6		0.7815971
53		9.3		6		6		0.7815971
53		9.4		6		6		0.7815971
53		9.5		6		6		0.7815971
53		9.6		6		6		0.7815971
53		9.7		6		6		0.7815971
52		9.8		6		6		0.7815971
